ticker,current_stage_name,weeks_since_emergence,rvol_at_emergence,mansfield_rp,vol_ratio_4w,market_cap,avg_daily_vol,current_price,is_new
AIN,Stage 2 (advance),3.0,1.05,11.85,,2022275952.506752,311910.0,71.25,False
SCSC,Stage 2 (advance),1.0,1.05,8.01,0.81,1007080396.443615,230850.0,49.43,False
FTDR,Stage 2 (advance),1.0,1.05,7.09,0.72,5040058152.75798,577990.0,71.8,False
GOLF,Stage 2 (advance),2.0,1.04,12.13,,6288705381.546394,372190.0,107.0,False
PRI,Stage 2 (advance),2.0,1.04,-3.26,0.91,8753351426.26416,232730.0,280.7,False
PAG,Stage 2 (advance),1.0,1.04,-2.35,0.85,11637233555.134369,308100.0,176.96,False
TOL,Stage 2 (advance),1.0,1.01,0.07,0.69,14273021414.749146,1284930.0,152.75,False
PH,Stage 2 (advance),1.0,1.0,1.91,,121027803688.9762,731960.0,953.98,False
PANW,Stage 2 (advance),2.0,1.0,34.23,,233660509948.73047,7572880.0,290.92,False
PGNY,Stage 2 (advance),2.0,1.0,8.85,,2100874139.4948578,1544150.0,26.88,False
SMG,Stage 2 (advance),2.0,0.99,-3.75,0.83,3703280378.8285904,811000.0,63.7,False
IART,Stage 2 (advance),1.0,0.99,21.52,,1363001776.172596,956290.0,17.41,False
RDN,Stage 2 (advance),2.0,0.99,-7.27,0.93,4646153165.626358,1315600.0,34.94,False
STAG,Stage 2 (advance),2.0,0.99,-5.0,0.73,7400592003.881912,1402030.0,38.71,False
KMT,Stage 2 (advance),2.0,0.98,9.74,,2723749209.1361275,1106850.0,35.81,False
SSB,Stage 2 (advance),2.0,0.97,-7.38,0.7,9509937615.163292,825600.0,97.29,False
NBIX,Stage 2 (advance),2.0,0.97,3.67,0.89,16125200282.743286,1180420.0,160.39,False
CHCO,Stage 2 (advance),3.0,0.97,-5.44,0.89,1800725901.8727722,132400.0,127.61,False
FELE,Stage 2 (advance),3.0,0.96,-2.08,0.84,4613950501.243347,345060.0,104.35,False
BAC,Stage 2 (advance),1.0,0.96,2.12,0.79,407237842596.2432,37920570.0,57.44,False
ESS,Stage 2 (advance),2.0,0.96,-3.58,0.76,17794075136.877472,495990.0,274.87,False
TFX,Stage 2 (advance),3.0,0.95,-7.3,0.56,5405835492.230392,502220.0,122.18,False
JOE,Stage 2 (advance),3.0,0.95,2.0,,3819183440.2503204,298900.0,66.67,False
QRVO,Stage 2 (advance),2.0,0.93,6.2,,9070249097.874641,1308290.0,102.94,False
AAP,Stage 2 (advance),2.0,0.93,-4.24,0.69,3398645877.4469604,1610610.0,56.39,False
URI,Stage 2 (advance),2.0,0.93,12.03,,68104011201.27222,560300.0,1091.45,False
FAST,Stage 2 (advance),2.0,0.93,-5.9,0.72,53630458049.791245,6834660.0,46.28,False
SAFE,Stage 2 (advance),2.0,0.92,-5.21,0.7,1094200811.4380665,375830.0,15.26,False
GE,Stage 2 (advance),1.0,0.92,8.31,0.69,372628044919.04114,4779120.0,357.06,False
PNFP,Stage 2 (advance),3.0,0.92,-7.6,0.79,14548563674.903442,1565360.0,96.24,False
PRG,Stage 2 (advance),3.0,0.92,9.08,,1540721336.9822388,445250.0,38.52,False
RGA,Stage 2 (advance),3.0,0.92,-4.4,0.7,13726972963.417877,379710.0,209.04,False
SPNT,Stage 2 (advance),3.0,0.92,2.33,,2732854522.5,830210.0,23.2,False
WSC,Stage 2 (advance),3.0,0.91,17.48,,5285044764.887981,1967330.0,29.18,False
LAUR,Stage 2 (advance),3.0,0.91,8.49,,5197394020.082943,1511060.0,37.16,False
BWXT,Stage 2 (advance),1.0,0.9,1.74,,19365504952.957153,979900.0,211.54,False
MD,Stage 2 (advance),3.0,0.9,10.08,,1961071165.7605495,785620.0,23.78,False
BANR,Stage 2 (advance),3.0,0.9,-6.08,0.74,2220064076.7112885,249460.0,65.28,False
COKE,Stage 2 (advance),3.0,0.9,4.97,,11919002321.129517,531210.0,179.16,False
MAS,Stage 2 (advance),2.0,0.9,-0.32,0.71,15054708361.98761,2453140.0,74.23,False
