ticker,passed,score,base_duration_weeks,base_range_pct,vol_ratio_4w,rs_trend,sma30w_slope_pct,price_vs_base_high_pct,current_price,c1_base_downtrend,c2_moving_avg,c3_volume,c4_rel_strength,c5_proximity,c6_no_overhead,up_high_vol_weeks,overhead_count,rs_at_52w_high,current_stage,current_stage_name,weeks_in_stage,stage2_emerged,weeks_since_emergence,rvol_at_emergence,mansfield_rp,market_cap,avg_daily_vol,avg_daily_dollar_vol
AMCR,False,15,26,34.64,0.88,rising,16.53,-3.02,48.59,False,False,False,False,True,False,1,4,False,2,Stage 2 (advance),5,False,,,6.2,22465377147.648354,4006920.0,194696242.8
AON,False,35,47,17.88,0.92,rising,2.47,-6.91,355.11,False,True,False,False,False,True,0,0,False,1,Stage 1 (base),8,False,,,-5.62,75327859760.43384,715790.0,254184186.9
APO,False,0,26,32.41,1.0,flat,-18.9,-5.98,132.69,True,False,False,False,False,True,2,0,False,1,Stage 1 (base),4,False,,,-5.4,78359173209.46576,4202000.0,557563380.0
APA,False,0,0,,,,,,43.39,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),7,False,,,30.02,15201751805.062408,5967250.0,258918977.5
AIG,False,30,76,19.58,0.71,rising,-0.5,-11.7,76.12,False,False,False,False,False,False,0,5,False,1,Stage 1 (base),13,False,,,-10.58,39802629460.44898,2994150.0,227914698.0
APP,False,0,0,,,,,,305.77,False,False,False,False,False,False,0,0,False,4,Stage 4 (decline),6,False,,,-46.49,102720223645.42819,6417830.0,1962379879.1
AMAT,False,0,0,,,,,,492.32,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),47,False,,,27.16,390882112392.73254,8355050.0,4113358216.0
APTV,False,0,0,,,,,,48.28,False,False,False,False,False,False,0,0,False,4,Stage 4 (decline),19,False,,,-38.84,10024536967.221344,3614520.0,174509025.6
ACGL,False,45,105,26.54,0.83,rising,10.43,-10.26,99.39,False,True,False,False,False,True,0,1,False,2,Stage 2 (advance),9,False,,,-4.75,33914762624.87027,1528950.0,151962340.5
AAPL,False,15,22,34.26,1.1,falling,27.23,-10.14,309.35,False,False,False,False,False,True,1,0,False,2,Stage 2 (advance),19,False,,,2.41,4514709672075.806,41002150.0,12684015102.5
MO,False,0,0,,,,,,66.09,False,False,False,False,False,False,0,0,False,3,Stage 3 (top),2,False,,,-6.26,110353369954.55511,10225580.0,675808582.2
ADM,False,0,0,,,,,,80.3,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),56,False,,,7.57,38701355985.72392,3558040.0,285710612.0
ANET,False,0,0,,,,,,188.65,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),13,False,,,15.97,237930022147.29565,6606230.0,1246265289.5
ARES,False,0,0,,,,,,141.25,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),5,False,,,-6.55,31854464395.0,2137750.0,301957187.5
AJG,False,0,0,,,,,,263.81,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),9,False,,,-2.39,67625318584.16748,1247480.0,329097698.8
AIZ,False,30,23,31.78,1.13,rising,34.48,-0.21,284.04,False,False,False,True,True,True,2,0,False,2,Stage 2 (advance),19,False,,,9.38,14009923200.147736,364870.0,103637674.80000001
T,False,0,20,28.81,0.97,falling,-6.49,-10.14,25.29,True,False,False,False,False,True,1,0,False,1,Stage 1 (base),1,False,,,-8.72,173296839362.04645,33412060.0,844990997.4
ATO,False,35,37,15.77,0.95,flat,5.62,-12.84,166.85,False,False,False,False,False,True,0,0,False,3,Stage 3 (top),13,False,,,-12.89,28195741099.474274,1100570.0,183630104.5
ADSK,False,0,0,,,,,,253.82,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),3,False,,,-12.7,53593942690.71083,1673830.0,424851530.59999996
AXON,False,0,0,,,,,,627.75,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),8,False,,,3.38,50996787266.25,957970.0,601365667.5
ADP,False,0,0,,,,,,280.81,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),8,False,,,4.52,111555348207.09027,2113100.0,593379611.0
AVY,False,30,70,25.47,1.27,rising,-10.99,-6.88,183.71,True,False,True,False,False,False,3,24,False,1,Stage 1 (base),3,False,,,-2.6,13923040075.65152,712740.0,130937465.4
BKR,False,0,0,,,,,,62.34,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),4,True,3.0,1.6,2.88,61883301737.61005,6350650.0,395899521.0
BALL,False,0,0,,,,,,63.59,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),9,False,,,2.2,16832486512.020527,1663280.0,105767975.2
BAX,False,0,0,,,,,,26.34,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),6,False,,,16.25,13617674692.547329,6371840.0,167834265.6
BAC,False,15,21,31.28,0.78,rising,23.75,-5.43,61.69,False,False,False,True,False,True,0,0,False,2,Stage 2 (advance),10,False,,,5.01,431382637033.7715,26064070.0,1607892478.3
AZO,False,0,0,,,,,,2957.95,False,False,False,False,False,False,0,0,False,4,Stage 4 (decline),25,False,,,-24.86,48289583025.113525,222000.0,656664900.0
BDX,False,50,33,34.77,0.77,rising,12.15,-0.15,192.0,False,True,False,True,True,False,0,11,False,2,Stage 2 (advance),4,True,3.0,0.78,12.66,52298265600.0,1691320.0,324733440.0
BIIB,False,0,0,,,,,,216.78,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),43,False,,,9.38,32030111506.076233,769370.0,166784028.6
BBY,False,0,0,,,,,,85.89,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),5,False,,,10.21,18102788323.497955,2931910.0,251821749.9
BLK,False,35,48,27.73,0.88,rising,0.45,-3.66,1156.55,False,True,False,False,True,True,1,0,False,1,Stage 1 (base),7,False,,,-1.27,179114049058.42554,504800.0,583826440.0
XYZ,False,15,20,33.25,0.77,rising,36.8,-5.29,82.16,False,False,False,True,False,False,0,5,False,2,Stage 2 (advance),8,False,,,7.17,49361319400.177,4059590.0,333535914.4
BNY,False,0,0,,,,,,158.49,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),69,False,,,16.12,107536125192.71457,2181080.0,345679369.20000005
BKNG,False,0,0,,,,,,209.62,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),4,False,,,-0.63,157504376741.1499,4668580.0,978627739.6
BSX,False,0,0,,,,,,50.37,False,False,False,False,False,False,0,0,False,4,Stage 4 (decline),33,False,,,-40.26,72997689676.67587,16366570.0,824384130.9
BA,False,35,39,33.41,0.87,falling,3.23,-15.79,214.2,False,False,False,False,False,False,2,9,False,3,Stage 3 (top),1,False,,,-11.48,169297255871.98212,4300170.0,921096414.0
AVGO,False,15,20,23.75,0.79,falling,16.0,-25.45,368.45,False,False,False,False,False,True,0,0,False,3,Stage 3 (top),1,False,,,-7.27,1752930482029.0303,19773040.0,7285376588.0
BRK-B,False,45,82,15.99,0.96,rising,0.92,-8.53,495.82,False,False,False,False,False,True,1,0,False,1,Stage 1 (base),10,False,,,-8.97,1061406745740.1068,4276200.0,2120225484.0
BRO,False,0,0,,,,,,72.92,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),8,False,,,-10.9,24399786619.750137,1802920.0,131468926.4
BF-B,False,20,45,33.68,0.55,rising,-0.81,-9.3,28.44,True,False,False,False,False,True,0,0,False,1,Stage 1 (base),4,False,,,-4.97,13050099941.659956,1786890.0,50819151.6
BG,False,0,0,,,,,,113.11,False,False,False,False,False,False,0,0,False,3,Stage 3 (top),4,False,,,-3.26,21730594119.790207,961590.0,108765444.9
BX,False,0,0,,,,,,143.38,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),6,False,,,-3.82,107624632510.48169,4233960.0,607065184.8
BMY,False,0,0,,,,,,67.01,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),9,False,,,12.96,136882313462.26929,9197980.0,616356639.8000001
CHRW,False,0,0,,,,,,141.63,False,False,False,False,False,False,0,0,False,3,Stage 3 (top),4,False,,,-21.47,16549644241.102783,1316670.0,186479972.1
BXP,False,15,20,33.7,0.79,rising,3.43,-9.7,67.67,True,False,False,True,False,True,1,0,False,1,Stage 1 (base),12,False,,,-4.79,10804297202.17096,1084980.0,73420596.60000001
BR,False,0,0,,,,,,182.18,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),3,False,,,-13.25,20772490324.51941,1420760.0,258834056.8
CDNS,False,0,0,,,,,,319.02,False,False,False,False,False,False,0,0,False,3,Stage 3 (top),1,False,,,-12.17,87855871834.44214,2025750.0,646254765.0
CPT,False,45,98,23.85,0.83,rising,12.28,-10.2,107.59,False,False,False,False,False,False,0,4,False,2,Stage 2 (advance),11,False,,,-7.13,10817028298.313904,764540.0,82256858.60000001
CARR,False,0,0,,,,,,60.37,False,False,False,False,False,False,0,0,False,3,Stage 3 (top),2,False,,,-9.59,49764502810.615845,4685810.0,282882349.7
CVNA,False,0,0,,,,,,69.91,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),3,False,,,-11.9,76867796776.58081,9522030.0,665685117.3
TECH,False,0,0,,,,,,72.32,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),4,True,3.0,2.03,9.89,11268226305.090363,3007100.0,217473471.99999997
CCL,False,0,28,33.35,0.79,falling,-4.09,-22.89,25.73,True,False,False,False,False,True,0,0,False,1,Stage 1 (base),8,False,,,-16.89,35241071204.894394,15898650.0,409072264.5
COF,False,0,23,29.65,0.8,rising,-19.17,-4.15,217.91,True,False,False,True,True,True,1,0,False,1,Stage 1 (base),6,False,,,-5.28,133684482859.40857,2835120.0,617800999.2
CASY,False,0,0,,,,,,835.74,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),75,False,,,12.25,30926486464.983887,280610.0,234517001.4
CAH,False,15,20,30.39,0.96,rising,22.99,-11.15,229.51,False,False,False,False,False,True,1,0,False,2,Stage 2 (advance),11,False,,,3.05,53378454055.70337,1986500.0,455921615.0
BLDR,False,0,0,,,,,,70.21,False,False,False,False,False,False,0,0,False,4,Stage 4 (decline),27,False,,,-36.5,7554347147.462502,1678910.0,117876271.1
CAT,False,0,0,,,,,,827.9,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),55,False,,,7.71,380564851825.6315,2599340.0,2151993586.0
CBRE,False,0,22,22.25,0.93,rising,-23.49,-3.49,152.1,True,False,False,False,True,True,1,0,False,1,Stage 1 (base),4,False,,,-8.24,44044404593.227356,1348290.0,205074909.0
COR,False,0,23,26.81,1.02,rising,-22.79,-9.91,318.04,True,False,False,False,False,True,1,0,False,1,Stage 1 (base),3,False,,,-10.21,60690673187.20322,1452900.0,462080316.0
CDW,False,0,0,,,,,,137.25,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),12,False,,,-8.63,17158641718.5,1613510.0,221454247.5
CF,False,0,0,,,,,,129.6,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),9,False,,,16.86,19613422571.69464,2448660.0,317346336.0
CNC,False,0,0,,,,,,65.02,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),18,False,,,29.38,32119553241.69159,3184870.0,207080247.39999998
CNP,False,15,26,15.48,1.22,falling,18.47,-13.83,38.77,False,False,False,False,False,True,0,0,False,3,Stage 3 (top),4,False,,,-12.97,25538585867.298218,5132610.0,198991289.70000002
CRL,False,0,0,,,,,,295.19,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),8,False,,,41.84,14092037742.22998,939690.0,277387091.1
SCHW,False,50,46,28.94,0.72,rising,8.72,-0.09,112.3,False,True,False,True,True,True,0,0,False,2,Stage 2 (advance),2,True,1.0,0.57,6.63,194204405959.71378,6112600.0,686444980.0
CHTR,False,0,0,,,,,,150.17,False,False,False,False,False,False,0,0,False,4,Stage 4 (decline),18,False,,,-32.43,17911900905.406387,2837680.0,426134405.59999996
CMG,False,0,23,26.86,1.06,rising,-13.33,-5.6,36.9,True,False,False,False,False,False,1,9,False,1,Stage 1 (base),1,False,,,-6.62,46783224134.56726,16729930.0,617334417.0
CVX,False,0,0,,,,,,205.27,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),6,False,,,9.28,402658312434.8534,8095140.0,1661689387.8000002
CIEN,False,0,0,,,,,,395.79,False,False,False,False,False,False,0,0,False,3,Stage 3 (top),1,False,,,12.21,56025232207.93866,2363700.0,935528823.0
CB,False,15,21,16.22,0.97,rising,24.56,-6.81,340.99,False,False,False,False,False,True,0,0,False,2,Stage 2 (advance),12,False,,,-1.37,131553890152.83325,1610550.0,549181444.5
CHD,False,35,49,27.28,0.93,rising,24.92,-6.24,98.8,False,False,False,False,False,False,1,26,False,2,Stage 2 (advance),23,False,,,-3.43,23435746735.488876,1624870.0,160537156.0
CBOE,False,0,0,,,,,,300.74,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),2,True,1.0,0.71,-0.3,31406583634.22583,862390.0,259355168.6
CTAS,False,35,33,24.6,1.0,rising,4.19,-6.78,203.79,False,True,False,False,False,True,0,0,False,1,Stage 1 (base),6,False,,,-1.55,81550552149.50471,1709980.0,348476824.2
CI,False,35,43,24.0,1.08,flat,7.32,-9.35,277.51,True,False,False,True,False,False,1,15,False,3,Stage 3 (top),1,False,,,-10.07,73329379850.3335,1334360.0,370298243.59999996
CSCO,False,0,0,,,,,,111.04,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),69,False,,,15.93,437656908810.0912,25418470.0,2822466908.8
C,False,0,0,,,,,,131.65,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),23,False,,,3.57,220834542243.6884,7894560.0,1039318824.0
CLX,False,0,25,29.99,1.19,rising,-4.88,-14.25,106.69,True,False,False,False,False,False,2,10,False,1,Stage 1 (base),3,False,,,-7.46,12902129218.691711,2519240.0,268777715.6
CME,False,0,20,34.53,0.86,falling,-8.4,-11.6,274.98,True,False,False,False,False,True,1,0,False,4,Stage 4 (decline),5,False,,,-8.34,98877109690.19577,1729780.0,475654904.40000004
CTSH,False,0,0,,,,,,61.87,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),2,False,,,-12.44,27868982729.70368,8119130.0,502330573.09999996
COHR,False,0,0,,,,,,289.52,False,False,False,False,False,False,0,0,False,3,Stage 3 (top),1,False,,,12.0,56697349710.44269,9254840.0,2679461276.7999997
